,latitude,longitude,cluster
81,17.6969,80.3457,0
82,17.6696,80.2832,0
83,17.7311,80.2572,0
84,18.9376,79.0107,0
85,18.0686,80.0441,0
86,18.3883,79.7744,0
87,18.1207,79.9625,0
88,17.8848,80.0476,0
89,18.3329,80.5348,0
90,17.8816,79.2221,0
91,17.8977,80.199,0
92,17.8991,80.2083,0
93,18.5925,77.8659,2
94,18.5942,77.8552,2
95,18.0161,80.7045,2
96,18.0202,80.6988,2
97,17.4898,78.0274,2
98,17.7317,80.3756,0
99,18.0897,80.433,2
100,18.3332,79.8521,0
101,17.846,80.0679,2
102,17.7975,80.2715,0
103,18.4319,77.7815,2
104,18.6827,77.9082,2
105,17.5062,78.1788,2
106,16.1662,78.6314,2
107,18.6535,77.7514,2
108,18.0951,78.2139,2
109,18.0965,78.2233,2
110,18.2916,79.9303,0
111,18.2902,79.9403,0
112,17.1991,80.811,0
113,17.1122,80.0005,2
114,17.5544,80.1772,0
115,18.2935,79.9396,0
116,18.0527,80.031,0
117,18.2918,79.9261,0
118,18.0577,80.072,0
119,18.6998,78.2924,0
120,17.6836,78.0217,0
121,18.7582,80.0033,2
122,18.7644,79.9724,2
123,18.7629,79.9818,0
124,16.3592,78.5685,0
125,16.2398,78.8242,0
126,16.5739,78.0289,0
127,16.112,78.6462,0
128,17.7397,80.1178,2
129,17.7101,80.3647,0
130,17.6631,80.2927,0
131,17.6618,80.283,0
132,17.6722,80.2912,0
133,17.6709,80.2816,0
134,17.701,80.3661,0
135,17.4929,80.7986,0
136,17.9537,80.2701,0
137,18.0588,80.1585,0
138,17.7638,80.4306,0
139,17.7729,80.4292,0
140,17.7743,80.439,0
141,19.0466,78.6189,0
142,19.1731,78.9186,2
143,19.048,78.6283,0
144,17.9652,80.2189,0
145,17.8856,80.2365,0
146,17.9834,80.2161,0
147,17.9523,80.2603,0
148,18.0878,80.178,0
149,18.1035,80.1957,2
150,17.7476,80.3608,0
151,17.1284,79.9963,0
152,17.4617,80.0758,0
153,17.4415,78.2198,0
154,17.6875,80.34,0
155,17.7872,80.4973,0
156,17.6806,80.3364,0
157,17.7338,80.27,0
158,17.7322,80.26,0
