,latitude,longitude,cluster,year,District
171,17.9053,79.0406,0,2015,Siddipet
172,18.9916,78.8167,0,2015,Jagtial
173,17.3183,77.6472,0,2015,Vikarabad
174,16.2995,78.5628,0,2015,Nagarkurnool
175,18.309,80.7168,2,2015,Mulugu
176,17.6664,80.7127,0,2015,Bhadradri Kothagudem
177,17.6741,80.7065,0,2015,Bhadradri Kothagudem
178,17.6686,80.6997,0,2015,Bhadradri Kothagudem
179,17.9587,80.2151,0,2015,Mahabubabad
180,18.0023,78.2601,2,2015,Medak
181,18.3607,78.3249,0,2015,Kamareddy
182,17.2761,80.656,2,2015,Khammam
183,17.9238,80.3353,0,2015,Bhadradri Kothagudem
184,18.0503,80.0513,2,2015,Mahabubabad
185,18.0746,79.9877,0,2015,Warangal
186,18.7621,79.9848,0,2015,Jayashankar Bhupalapally
187,18.7647,79.9905,0,2015,Jayashankar Bhupalapally
188,17.7656,80.2977,2,2015,Bhadradri Kothagudem
189,17.8079,80.4431,2,2015,Bhadradri Kothagudem
190,18.3111,80.3596,2,2015,Mulugu
191,18.3162,80.3521,2,2015,Mulugu
192,17.6805,80.2091,2,2015,Mahabubabad
193,17.7049,80.9274,0,2015,Bhadradri Kothagudem
194,17.7035,80.9377,2,2015,Bhadradri Kothagudem
195,17.4982,80.8849,0,2015,Bhadradri Kothagudem
196,17.2351,77.5942,1,2015,Vikarabad
197,17.3715,77.7086,1,2015,Vikarabad
198,19.2555,78.8273,0,2015,Nirmal
199,19.1931,78.5725,0,2015,Nirmal
200,17.943,78.301,0,2015,Medak
201,18.2648,77.7736,1,2015,Kamareddy
202,17.3702,77.6993,1,2015,Vikarabad
203,17.9235,80.3282,1,2015,Bhadradri Kothagudem
204,17.1994,80.8199,0,2015,Khammam
205,16.2406,78.8542,0,2015,Nagarkurnool
206,17.779,80.3161,0,2015,Bhadradri Kothagudem
207,17.7804,80.3255,0,2015,Bhadradri Kothagudem
208,17.8455,80.3951,0,2015,Bhadradri Kothagudem
209,17.8733,80.2092,0,2015,Mahabubabad
210,17.8719,80.1998,2,2015,Mahabubabad
211,17.87,80.4389,0,2015,Bhadradri Kothagudem
212,17.727,80.2098,0,2015,Mahabubabad
213,17.6645,80.4172,0,2015,Bhadradri Kothagudem
214,17.7256,80.2005,0,2015,Mahabubabad
215,17.6476,80.4792,0,2015,Bhadradri Kothagudem
216,16.6629,78.095,0,2015,Mahabubnagar
217,17.9032,80.4091,0,2015,Bhadradri Kothagudem
218,17.9037,80.3995,0,2015,Bhadradri Kothagudem
219,17.958,80.1564,0,2015,Mahabubabad
220,17.7956,80.1878,2,2015,Mahabubabad
221,17.6633,80.9741,0,2015,Bhadradri Kothagudem
222,18.0561,79.9885,2,2015,Warangal
223,18.1314,80.0,0,2015,Mulugu
224,18.0587,79.9946,2,2015,Warangal
225,17.7711,80.4381,1,2015,Bhadradri Kothagudem
